gameID,awayTeam,awayPts,homeTeam,homePts,winner,homeMinusAwayActual,predictedSpread,predictionError,gameCategorization,wasModelCorrect,lowerCI,upperCI
201910220TOR,New Orleans Pelicans,122,Toronto Raptors,130,Toronto Raptors,8,8,0,Close Game,1,-15,32
201910220LAC,Los Angeles Lakers,102,Los Angeles Clippers,112,Los Angeles Clippers,10,1,9,Average Game,1,-21,23
201910230CHO,Chicago Bulls,125,Charlotte Hornets,126,Charlotte Hornets,1,2,1,Close Game,1,-21,25
201910230IND,Detroit Pistons,119,Indiana Pacers,110,Detroit Pistons,-9,10,19,Close Game,0,-12,36
201910230ORL,Cleveland Cavaliers,85,Orlando Magic,94,Orlando Magic,9,4,5,Close Game,1,-22,29
201910230BRK,Minnesota Timberwolves,127,Brooklyn Nets,126,Minnesota Timberwolves,-1,9,10,Close Game,0,-14,33
201910230MIA,Memphis Grizzlies,101,Miami Heat,120,Miami Heat,19,4,15,Average Game,1,-23,30
201910230PHI,Boston Celtics,93,Philadelphia 76ers,107,Philadelphia 76ers,14,-1,15,Average Game,0,-25,23
201910230DAL,Washington Wizards,100,Dallas Mavericks,108,Dallas Mavericks,8,6,2,Close Game,1,-19,31
201910230SAS,New York Knicks,111,San Antonio Spurs,120,San Antonio Spurs,9,6,3,Close Game,1,-21,29
201910230UTA,Oklahoma City Thunder,95,Utah Jazz,100,Utah Jazz,5,2,3,Close Game,1,-21,24
201910230PHO,Sacramento Kings,95,Phoenix Suns,124,Phoenix Suns,29,2,27,Blowout Game,1,-22,24
201910230POR,Denver Nuggets,108,Portland Trail Blazers,100,Denver Nuggets,-8,-0,8,Close Game,0,-23,23
201910240DET,Atlanta Hawks,117,Detroit Pistons,100,Atlanta Hawks,-17,5,22,Average Game,0,-24,32
201910240HOU,Milwaukee Bucks,117,Houston Rockets,111,Milwaukee Bucks,-6,-11,5,Close Game,1,-36,14
201910240GSW,Los Angeles Clippers,141,Golden State Warriors,122,Los Angeles Clippers,-19,-9,10,Average Game,1,-33,15
201910250BOS,Toronto Raptors,106,Boston Celtics,112,Boston Celtics,6,1,5,Close Game,1,-23,24
201910250CHO,Minnesota Timberwolves,121,Charlotte Hornets,99,Minnesota Timberwolves,-22,4,26,Average Game,0,-18,27
201910250BRK,New York Knicks,109,Brooklyn Nets,113,Brooklyn Nets,4,3,1,Close Game,1,-24,27
201910250MEM,Chicago Bulls,110,Memphis Grizzlies,102,Chicago Bulls,-8,10,18,Close Game,0,-15,38
201910250NOP,Dallas Mavericks,123,New Orleans Pelicans,116,Dallas Mavericks,-7,1,8,Close Game,0,-23,26
201910250OKC,Washington Wizards,97,Oklahoma City Thunder,85,Washington Wizards,-12,9,21,Average Game,0,-15,34
201910250DEN,Phoenix Suns,107,Denver Nuggets,108,Denver Nuggets,1,7,6,Close Game,1,-17,31
201910250SAC,Portland Trail Blazers,122,Sacramento Kings,112,Portland Trail Blazers,-10,0,10,Average Game,0,-22,23
201910250LAL,Utah Jazz,86,Los Angeles Lakers,95,Los Angeles Lakers,9,6,3,Close Game,1,-15,27
201910260MIL,Miami Heat,131,Milwaukee Bucks,126,Miami Heat,-5,7,12,Close Game,0,-18,30
201910260DET,Philadelphia 76ers,117,Detroit Pistons,111,Philadelphia 76ers,-6,-1,5,Close Game,1,-27,23
201910260ATL,Orlando Magic,99,Atlanta Hawks,103,Atlanta Hawks,4,-1,5,Close Game,0,-28,26
201910260NYK,Boston Celtics,118,New York Knicks,95,Boston Celtics,-23,-3,20,Average Game,1,-26,23
201910260CHI,Toronto Raptors,108,Chicago Bulls,84,Toronto Raptors,-24,-8,16,Blowout Game,1,-32,15
201910260CLE,Indiana Pacers,99,Cleveland Cavaliers,110,Cleveland Cavaliers,11,-8,19,Average Game,0,-32,16
201910260HOU,New Orleans Pelicans,123,Houston Rockets,126,Houston Rockets,3,0,3,Close Game,0,-25,23
201910260SAS,Washington Wizards,122,San Antonio Spurs,124,San Antonio Spurs,2,8,6,Close Game,1,-17,32
201910260UTA,Sacramento Kings,81,Utah Jazz,113,Utah Jazz,32,6,26,Blowout Game,1,-15,26
201910260PHO,Los Angeles Clippers,122,Phoenix Suns,130,Phoenix Suns,8,-5,13,Close Game,0,-29,20
201910270OKC,Golden State Warriors,92,Oklahoma City Thunder,120,Oklahoma City Thunder,28,11,17,Blowout Game,1,-14,36
201910270MEM,Brooklyn Nets,133,Memphis Grizzlies,134,Memphis Grizzlies,1,6,5,Close Game,1,-21,35
201910270DAL,Portland Trail Blazers,121,Dallas Mavericks,119,Portland Trail Blazers,-2,2,4,Close Game,0,-24,25
201910270MIN,Miami Heat,109,Minnesota Timberwolves,116,Minnesota Timberwolves,7,-11,18,Close Game,0,-34,12
201910270LAL,Charlotte Hornets,101,Los Angeles Lakers,120,Los Angeles Lakers,19,14,5,Average Game,1,-8,35
201910280NYK,Chicago Bulls,98,New York Knicks,105,New York Knicks,7,6,1,Close Game,1,-18,31
201910280DET,Indiana Pacers,94,Detroit Pistons,96,Detroit Pistons,2,-6,8,Close Game,0,-31,16
201910280TOR,Orlando Magic,95,Toronto Raptors,104,Toronto Raptors,9,10,1,Close Game,1,-14,33
201910280ATL,Philadelphia 76ers,105,Atlanta Hawks,103,Philadelphia 76ers,-2,-4,2,Close Game,1,-32,23
201910280HOU,Oklahoma City Thunder,112,Houston Rockets,116,Houston Rockets,4,-4,8,Close Game,0,-29,20
201910280MIL,Cleveland Cavaliers,112,Milwaukee Bucks,129,Milwaukee Bucks,17,17,0,Average Game,1,-11,42
201910280NOP,Golden State Warriors,134,New Orleans Pelicans,123,Golden State Warriors,-11,7,18,Average Game,0,-17,31
201910280SAS,Portland Trail Blazers,110,San Antonio Spurs,113,San Antonio Spurs,3,4,1,Close Game,1,-21,27
201910280PHO,Utah Jazz,96,Phoenix Suns,95,Utah Jazz,-1,-2,1,Close Game,1,-25,21
201910280SAC,Denver Nuggets,101,Sacramento Kings,94,Denver Nuggets,-7,-2,5,Close Game,1,-23,21
201910280LAC,Charlotte Hornets,96,Los Angeles Clippers,111,Los Angeles Clippers,15,13,2,Average Game,1,-10,35
201910290MIA,Atlanta Hawks,97,Miami Heat,112,Miami Heat,15,14,1,Average Game,1,-13,40
201910290DEN,Dallas Mavericks,109,Denver Nuggets,106,Dallas Mavericks,-3,5,8,Close Game,0,-18,30
201910290LAL,Memphis Grizzlies,91,Los Angeles Lakers,120,Los Angeles Lakers,29,6,23,Blowout Game,1,-21,31
201910300CLE,Chicago Bulls,111,Cleveland Cavaliers,117,Cleveland Cavaliers,6,3,3,Close Game,1,-22,28
201910300ORL,New York Knicks,83,Orlando Magic,95,Orlando Magic,12,1,11,Average Game,1,-25,25
201910300PHI,Minnesota Timberwolves,95,Philadelphia 76ers,117,Philadelphia 76ers,22,10,12,Average Game,1,-14,34
201910300BOS,Milwaukee Bucks,105,Boston Celtics,116,Boston Celtics,11,-4,15,Average Game,0,-28,21
201910300BRK,Indiana Pacers,118,Brooklyn Nets,108,Indiana Pacers,-10,-4,6,Average Game,1,-28,19
201910300TOR,Detroit Pistons,113,Toronto Raptors,125,Toronto Raptors,12,10,2,Average Game,1,-13,36
201910300OKC,Portland Trail Blazers,102,Oklahoma City Thunder,99,Portland Trail Blazers,-3,5,8,Close Game,0,-20,29
201910300WAS,Houston Rockets,159,Washington Wizards,158,Houston Rockets,-1,2,3,Close Game,0,-23,26
201910300SAC,Charlotte Hornets,118,Sacramento Kings,111,Charlotte Hornets,-7,7,14,Close Game,0,-15,28
201910300UTA,Los Angeles Clippers,96,Utah Jazz,110,Utah Jazz,14,-0,14,Average Game,0,-22,21
201910300GSW,Phoenix Suns,121,Golden State Warriors,110,Phoenix Suns,-11,-2,9,Average Game,1,-27,23
201910310ATL,Miami Heat,106,Atlanta Hawks,97,Miami Heat,-9,-9,0,Close Game,1,-35,17
201910310NOP,Denver Nuggets,107,New Orleans Pelicans,122,New Orleans Pelicans,15,-2,17,Average Game,0,-25,21
201910310LAC,San Antonio Spurs,97,Los Angeles Clippers,103,Los Angeles Clippers,6,5,1,Close Game,1,-18,30
201911010BRK,Houston Rockets,116,Brooklyn Nets,123,Brooklyn Nets,7,4,3,Close Game,1,-20,30
201911010IND,Cleveland Cavaliers,95,Indiana Pacers,102,Indiana Pacers,7,12,5,Close Game,1,-12,36
201911010ORL,Milwaukee Bucks,123,Orlando Magic,91,Milwaukee Bucks,-32,-11,21,Blowout Game,1,-34,16
201911010BOS,New York Knicks,102,Boston Celtics,104,Boston Celtics,2,7,5,Close Game,1,-18,31
201911010CHI,Detroit Pistons,106,Chicago Bulls,112,Chicago Bulls,6,0,6,Close Game,0,-23,25
201911010DAL,Los Angeles Lakers,119,Dallas Mavericks,110,Los Angeles Lakers,-9,-4,5,Close Game,1,-28,19
201911010SAC,Utah Jazz,101,Sacramento Kings,102,Sacramento Kings,1,-2,3,Close Game,0,-21,20
201911010GSW,San Antonio Spurs,127,Golden State Warriors,110,San Antonio Spurs,-17,-6,11,Average Game,1,-30,20
201911020OKC,New Orleans Pelicans,104,Oklahoma City Thunder,115,Oklahoma City Thunder,11,6,5,Average Game,1,-17,30
201911020DET,Brooklyn Nets,109,Detroit Pistons,113,Detroit Pistons,4,-0,4,Close Game,0,-26,24
201911020ORL,Denver Nuggets,91,Orlando Magic,87,Denver Nuggets,-4,-4,0,Close Game,1,-27,20
201911020MEM,Phoenix Suns,114,Memphis Grizzlies,105,Phoenix Suns,-9,7,16,Close Game,0,-20,35
201911020MIL,Toronto Raptors,105,Milwaukee Bucks,115,Milwaukee Bucks,10,7,3,Average Game,1,-19,30
201911020WAS,Minnesota Timberwolves,131,Washington Wizards,109,Minnesota Timberwolves,-22,7,29,Average Game,0,-17,30
201911020GSW,Charlotte Hornets,93,Golden State Warriors,87,Charlotte Hornets,-6,2,8,Close Game,0,-22,25
201911020POR,Philadelphia 76ers,129,Portland Trail Blazers,128,Philadelphia 76ers,-1,3,4,Close Game,0,-22,28
201911030IND,Chicago Bulls,95,Indiana Pacers,108,Indiana Pacers,13,12,1,Average Game,1,-9,36
201911030MIA,Houston Rockets,100,Miami Heat,129,Miami Heat,29,10,19,Blowout Game,1,-13,34
201911030NYK,Sacramento Kings,113,New York Knicks,92,Sacramento Kings,-21,2,23,Average Game,0,-21,26
201911030SAS,Los Angeles Lakers,103,San Antonio Spurs,96,Los Angeles Lakers,-7,-2,5,Close Game,1,-26,20
201911030CLE,Dallas Mavericks,131,Cleveland Cavaliers,111,Dallas Mavericks,-20,-3,17,Average Game,1,-28,24
201911030LAC,Utah Jazz,94,Los Angeles Clippers,105,Los Angeles Clippers,11,5,6,Average Game,1,-17,27
201911040WAS,Detroit Pistons,99,Washington Wizards,115,Washington Wizards,16,2,14,Average Game,1,-23,28
201911040BRK,New Orleans Pelicans,125,Brooklyn Nets,135,Brooklyn Nets,10,2,8,Average Game,1,-22,26
201911040MEM,Houston Rockets,107,Memphis Grizzlies,100,Houston Rockets,-7,9,16,Close Game,0,-18,37
201911040MIN,Milwaukee Bucks,134,Minnesota Timberwolves,106,Milwaukee Bucks,-28,-16,12,Blowout Game,1,-40,8
201911040PHO,Philadelphia 76ers,109,Phoenix Suns,114,Phoenix Suns,5,1,4,Close Game,1,-25,26
201911040GSW,Portland Trail Blazers,118,Golden State Warriors,127,Golden State Warriors,9,-4,13,Close Game,0,-29,20
201911050CHO,Indiana Pacers,120,Charlotte Hornets,122,Charlotte Hornets,2,-8,10,Close Game,0,-31,13
201911050CLE,Boston Celtics,119,Cleveland Cavaliers,113,Boston Celtics,-6,-6,0,Close Game,1,-30,20
201911050ATL,San Antonio Spurs,100,Atlanta Hawks,108,Atlanta Hawks,8,-6,14,Close Game,0,-33,21
201911050CHI,Los Angeles Lakers,118,Chicago Bulls,112,Los Angeles Lakers,-6,-10,4,Close Game,1,-32,12
201911050OKC,Orlando Magic,94,Oklahoma City Thunder,102,Oklahoma City Thunder,8,8,0,Close Game,1,-16,32
201911050DEN,Miami Heat,89,Denver Nuggets,109,Denver Nuggets,20,1,19,Average Game,1,-22,23
201911060DET,New York Knicks,102,Detroit Pistons,122,Detroit Pistons,20,1,19,Average Game,1,-27,24
201911060IND,Washington Wizards,106,Indiana Pacers,121,Indiana Pacers,15,11,4,Average Game,1,-11,35
201911060ATL,Chicago Bulls,113,Atlanta Hawks,93,Chicago Bulls,-20,1,21,Average Game,0,-25,28
201911060HOU,Golden State Warriors,112,Houston Rockets,129,Houston Rockets,17,5,12,Average Game,1,-20,29
201911060TOR,Sacramento Kings,120,Toronto Raptors,124,Toronto Raptors,4,8,4,Close Game,1,-14,30
201911060MEM,Minnesota Timberwolves,121,Memphis Grizzlies,137,Memphis Grizzlies,16,13,3,Average Game,1,-12,41
201911060DAL,Orlando Magic,106,Dallas Mavericks,107,Dallas Mavericks,1,5,4,Close Game,1,-20,29
201911060UTA,Philadelphia 76ers,104,Utah Jazz,106,Utah Jazz,2,5,3,Close Game,1,-18,27
201911060LAC,Milwaukee Bucks,129,Los Angeles Clippers,124,Milwaukee Bucks,-5,-2,3,Close Game,1,-26,23
201911070CHO,Boston Celtics,108,Charlotte Hornets,87,Boston Celtics,-21,-7,14,Average Game,1,-29,16
201911070SAS,Oklahoma City Thunder,112,San Antonio Spurs,121,San Antonio Spurs,9,1,8,Close Game,1,-24,25
201911070PHO,Miami Heat,124,Phoenix Suns,108,Miami Heat,-16,-4,12,Average Game,1,-28,20
201911070LAC,Portland Trail Blazers,101,Los Angeles Clippers,107,Los Angeles Clippers,6,7,1,Close Game,1,-17,30
201911080IND,Detroit Pistons,106,Indiana Pacers,112,Indiana Pacers,6,10,4,Close Game,1,-12,36
201911080ORL,Memphis Grizzlies,86,Orlando Magic,118,Orlando Magic,32,-4,36,Blowout Game,0,-31,23
201911080WAS,Cleveland Cavaliers,113,Washington Wizards,100,Cleveland Cavaliers,-13,3,16,Average Game,0,-23,28
201911080ATL,Sacramento Kings,121,Atlanta Hawks,109,Sacramento Kings,-12,-3,9,Average Game,1,-29,22
201911080MIN,Golden State Warriors,119,Minnesota Timberwolves,125,Minnesota Timberwolves,6,0,6,Close Game,0,-24,24
201911080NOP,Toronto Raptors,122,New Orleans Pelicans,104,Toronto Raptors,-18,-4,14,Average Game,1,-27,19
201911080DAL,New York Knicks,106,Dallas Mavericks,102,New York Knicks,-4,4,8,Close Game,0,-23,28
201911080DEN,Philadelphia 76ers,97,Denver Nuggets,100,Denver Nuggets,3,5,2,Close Game,1,-19,29
201911080UTA,Milwaukee Bucks,100,Utah Jazz,103,Utah Jazz,3,-5,8,Close Game,0,-27,19
201911080POR,Brooklyn Nets,119,Portland Trail Blazers,115,Brooklyn Nets,-4,4,8,Close Game,0,-20,29
201911080LAL,Miami Heat,80,Los Angeles Lakers,95,Los Angeles Lakers,15,4,11,Average Game,1,-18,26
201911090SAS,Boston Celtics,135,San Antonio Spurs,115,Boston Celtics,-20,0,20,Average Game,0,-23,24
201911090CHO,New Orleans Pelicans,115,Charlotte Hornets,110,New Orleans Pelicans,-5,-3,2,Close Game,1,-25,20
201911090CHI,Houston Rockets,117,Chicago Bulls,94,Houston Rockets,-23,-0,23,Average Game,0,-24,24
201911090MEM,Dallas Mavericks,138,Memphis Grizzlies,122,Dallas Mavericks,-16,5,21,Average Game,0,-22,34
201911090OKC,Golden State Warriors,108,Oklahoma City Thunder,114,Oklahoma City Thunder,6,11,5,Close Game,1,-14,36
201911100MIN,Denver Nuggets,100,Minnesota Timberwolves,98,Denver Nuggets,-2,-9,7,Close Game,1,-32,14
201911100ORL,Indiana Pacers,109,Orlando Magic,102,Indiana Pacers,-7,-6,1,Close Game,1,-29,17
201911100PHI,Charlotte Hornets,106,Philadelphia 76ers,114,Philadelphia 76ers,8,8,0,Close Game,1,-16,31
201911100OKC,Milwaukee Bucks,121,Oklahoma City Thunder,119,Milwaukee Bucks,-2,-4,2,Close Game,1,-28,22
201911100NYK,Cleveland Cavaliers,108,New York Knicks,87,Cleveland Cavaliers,-21,5,26,Average Game,0,-20,32
201911100PHO,Brooklyn Nets,112,Phoenix Suns,138,Phoenix Suns,26,2,24,Blowout Game,1,-24,27
201911100POR,Atlanta Hawks,113,Portland Trail Blazers,124,Portland Trail Blazers,11,9,2,Average Game,1,-17,36
201911100LAL,Toronto Raptors,113,Los Angeles Lakers,104,Toronto Raptors,-9,4,13,Close Game,0,-19,26
201911110DET,Minnesota Timberwolves,120,Detroit Pistons,114,Minnesota Timberwolves,-6,7,13,Close Game,0,-18,30
201911110BOS,Dallas Mavericks,106,Boston Celtics,116,Boston Celtics,10,6,4,Average Game,1,-18,30
201911110SAS,Memphis Grizzlies,113,San Antonio Spurs,109,Memphis Grizzlies,-4,1,5,Close Game,0,-27,28
