game_id,date_game,game_start_time,visitor_team_name,visitor_pts,home_team_name,home_pts,overtimes,attendance,game_remarks,game_type,winner,loser
201910220TOR,2019-10-22,8:00p,New Orleans Pelicans,122,Toronto Raptors,130,OT,20787,,Regular,Toronto Raptors,New Orleans Pelicans
201910220LAC,2019-10-22,10:30p,Los Angeles Lakers,102,Los Angeles Clippers,112,,19068,,Regular,Los Angeles Clippers,Los Angeles Lakers
201910230CHO,2019-10-23,7:00p,Chicago Bulls,125,Charlotte Hornets,126,,15424,,Regular,Charlotte Hornets,Chicago Bulls
201910230IND,2019-10-23,7:00p,Detroit Pistons,119,Indiana Pacers,110,,17923,,Regular,Detroit Pistons,Indiana Pacers
201910230ORL,2019-10-23,7:00p,Cleveland Cavaliers,85,Orlando Magic,94,,18846,,Regular,Orlando Magic,Cleveland Cavaliers
201910230BRK,2019-10-23,7:30p,Minnesota Timberwolves,127,Brooklyn Nets,126,OT,17732,,Regular,Minnesota Timberwolves,Brooklyn Nets
201910230MIA,2019-10-23,7:30p,Memphis Grizzlies,101,Miami Heat,120,,19600,,Regular,Miami Heat,Memphis Grizzlies
201910230PHI,2019-10-23,7:30p,Boston Celtics,93,Philadelphia 76ers,107,,20422,,Regular,Philadelphia 76ers,Boston Celtics
201910230DAL,2019-10-23,8:30p,Washington Wizards,100,Dallas Mavericks,108,,19816,,Regular,Dallas Mavericks,Washington Wizards
201910230SAS,2019-10-23,8:30p,New York Knicks,111,San Antonio Spurs,120,,18354,,Regular,San Antonio Spurs,New York Knicks
201910230UTA,2019-10-23,9:00p,Oklahoma City Thunder,95,Utah Jazz,100,,18306,,Regular,Utah Jazz,Oklahoma City Thunder
201910230PHO,2019-10-23,10:00p,Sacramento Kings,95,Phoenix Suns,124,,18055,,Regular,Phoenix Suns,Sacramento Kings
201910230POR,2019-10-23,10:00p,Denver Nuggets,108,Portland Trail Blazers,100,,19991,,Regular,Denver Nuggets,Portland Trail Blazers
201910240DET,2019-10-24,7:00p,Atlanta Hawks,117,Detroit Pistons,100,,20338,,Regular,Atlanta Hawks,Detroit Pistons
201910240HOU,2019-10-24,8:00p,Milwaukee Bucks,117,Houston Rockets,111,,18055,,Regular,Milwaukee Bucks,Houston Rockets
201910240GSW,2019-10-24,10:30p,Los Angeles Clippers,141,Golden State Warriors,122,,18064,,Regular,Los Angeles Clippers,Golden State Warriors
201910250BOS,2019-10-25,7:00p,Toronto Raptors,106,Boston Celtics,112,,18624,,Regular,Boston Celtics,Toronto Raptors
201910250CHO,2019-10-25,7:00p,Minnesota Timberwolves,121,Charlotte Hornets,99,,14879,,Regular,Minnesota Timberwolves,Charlotte Hornets
201910250BRK,2019-10-25,7:30p,New York Knicks,109,Brooklyn Nets,113,,17732,,Regular,Brooklyn Nets,New York Knicks
201910250MEM,2019-10-25,8:00p,Chicago Bulls,110,Memphis Grizzlies,102,,17794,,Regular,Chicago Bulls,Memphis Grizzlies
201910250NOP,2019-10-25,8:00p,Dallas Mavericks,123,New Orleans Pelicans,116,,17027,,Regular,Dallas Mavericks,New Orleans Pelicans
201910250OKC,2019-10-25,8:00p,Washington Wizards,97,Oklahoma City Thunder,85,,18203,,Regular,Washington Wizards,Oklahoma City Thunder
201910250DEN,2019-10-25,9:00p,Phoenix Suns,107,Denver Nuggets,108,OT,19557,,Regular,Denver Nuggets,Phoenix Suns
201910250SAC,2019-10-25,10:00p,Portland Trail Blazers,122,Sacramento Kings,112,,17583,,Regular,Portland Trail Blazers,Sacramento Kings
201910250LAL,2019-10-25,10:30p,Utah Jazz,86,Los Angeles Lakers,95,,18997,,Regular,Los Angeles Lakers,Utah Jazz
201910260MIL,2019-10-26,5:00p,Miami Heat,131,Milwaukee Bucks,126,OT,17467,,Regular,Miami Heat,Milwaukee Bucks
201910260DET,2019-10-26,7:00p,Philadelphia 76ers,117,Detroit Pistons,111,,16207,,Regular,Philadelphia 76ers,Detroit Pistons
201910260ATL,2019-10-26,7:30p,Orlando Magic,99,Atlanta Hawks,103,,17078,,Regular,Atlanta Hawks,Orlando Magic
201910260NYK,2019-10-26,7:30p,Boston Celtics,118,New York Knicks,95,,19812,,Regular,Boston Celtics,New York Knicks
201910260CHI,2019-10-26,8:00p,Toronto Raptors,108,Chicago Bulls,84,,21498,,Regular,Toronto Raptors,Chicago Bulls
201910260CLE,2019-10-26,8:00p,Indiana Pacers,99,Cleveland Cavaliers,110,,19432,,Regular,Cleveland Cavaliers,Indiana Pacers
201910260HOU,2019-10-26,8:00p,New Orleans Pelicans,123,Houston Rockets,126,,18055,,Regular,Houston Rockets,New Orleans Pelicans
201910260SAS,2019-10-26,8:30p,Washington Wizards,122,San Antonio Spurs,124,,18354,,Regular,San Antonio Spurs,Washington Wizards
201910260UTA,2019-10-26,9:00p,Sacramento Kings,81,Utah Jazz,113,,18306,,Regular,Utah Jazz,Sacramento Kings
201910260PHO,2019-10-26,10:00p,Los Angeles Clippers,122,Phoenix Suns,130,,15802,,Regular,Phoenix Suns,Los Angeles Clippers
201910270OKC,2019-10-27,3:30p,Golden State Warriors,92,Oklahoma City Thunder,120,,18203,,Regular,Oklahoma City Thunder,Golden State Warriors
201910270MEM,2019-10-27,6:00p,Brooklyn Nets,133,Memphis Grizzlies,134,OT,15517,,Regular,Memphis Grizzlies,Brooklyn Nets
201910270DAL,2019-10-27,7:00p,Portland Trail Blazers,121,Dallas Mavericks,119,,19707,,Regular,Portland Trail Blazers,Dallas Mavericks
201910270MIN,2019-10-27,7:00p,Miami Heat,109,Minnesota Timberwolves,116,,17049,,Regular,Minnesota Timberwolves,Miami Heat
201910270LAL,2019-10-27,9:30p,Charlotte Hornets,101,Los Angeles Lakers,120,,18997,,Regular,Los Angeles Lakers,Charlotte Hornets
201910280NYK,2019-10-28,7:00p,Chicago Bulls,98,New York Knicks,105,,19812,,Regular,New York Knicks,Chicago Bulls
201910280DET,2019-10-28,7:00p,Indiana Pacers,94,Detroit Pistons,96,,13565,,Regular,Detroit Pistons,Indiana Pacers
201910280TOR,2019-10-28,7:30p,Orlando Magic,95,Toronto Raptors,104,,19800,,Regular,Toronto Raptors,Orlando Magic
201910280ATL,2019-10-28,7:30p,Philadelphia 76ers,105,Atlanta Hawks,103,,14094,,Regular,Philadelphia 76ers,Atlanta Hawks
201910280HOU,2019-10-28,8:00p,Oklahoma City Thunder,112,Houston Rockets,116,,18055,,Regular,Houston Rockets,Oklahoma City Thunder
201910280MIL,2019-10-28,8:00p,Cleveland Cavaliers,112,Milwaukee Bucks,129,,17385,,Regular,Milwaukee Bucks,Cleveland Cavaliers
201910280NOP,2019-10-28,8:00p,Golden State Warriors,134,New Orleans Pelicans,123,,17307,,Regular,Golden State Warriors,New Orleans Pelicans
201910280SAS,2019-10-28,8:30p,Portland Trail Blazers,110,San Antonio Spurs,113,,18083,,Regular,San Antonio Spurs,Portland Trail Blazers
201910280PHO,2019-10-28,10:00p,Utah Jazz,96,Phoenix Suns,95,,14805,,Regular,Utah Jazz,Phoenix Suns
201910280SAC,2019-10-28,10:00p,Denver Nuggets,101,Sacramento Kings,94,,15870,,Regular,Denver Nuggets,Sacramento Kings
201910280LAC,2019-10-28,10:30p,Charlotte Hornets,96,Los Angeles Clippers,111,,19068,,Regular,Los Angeles Clippers,Charlotte Hornets
201910290MIA,2019-10-29,7:30p,Atlanta Hawks,97,Miami Heat,112,,19600,,Regular,Miami Heat,Atlanta Hawks
201910290DEN,2019-10-29,9:00p,Dallas Mavericks,109,Denver Nuggets,106,,16605,,Regular,Dallas Mavericks,Denver Nuggets
201910290LAL,2019-10-29,10:30p,Memphis Grizzlies,91,Los Angeles Lakers,120,,18997,,Regular,Los Angeles Lakers,Memphis Grizzlies
201910300CLE,2019-10-30,7:00p,Chicago Bulls,111,Cleveland Cavaliers,117,,17595,,Regular,Cleveland Cavaliers,Chicago Bulls
201910300ORL,2019-10-30,7:00p,New York Knicks,83,Orlando Magic,95,,17456,,Regular,Orlando Magic,New York Knicks
201910300PHI,2019-10-30,7:00p,Minnesota Timberwolves,95,Philadelphia 76ers,117,,20204,,Regular,Philadelphia 76ers,Minnesota Timberwolves
201910300BOS,2019-10-30,7:30p,Milwaukee Bucks,105,Boston Celtics,116,,18624,,Regular,Boston Celtics,Milwaukee Bucks
201910300BRK,2019-10-30,7:30p,Indiana Pacers,118,Brooklyn Nets,108,,17083,,Regular,Indiana Pacers,Brooklyn Nets
201910300TOR,2019-10-30,7:30p,Detroit Pistons,113,Toronto Raptors,125,,19800,,Regular,Toronto Raptors,Detroit Pistons
201910300OKC,2019-10-30,8:00p,Portland Trail Blazers,102,Oklahoma City Thunder,99,,18203,,Regular,Portland Trail Blazers,Oklahoma City Thunder
201910300WAS,2019-10-30,8:00p,Houston Rockets,159,Washington Wizards,158,,20476,,Regular,Houston Rockets,Washington Wizards
201910300SAC,2019-10-30,10:00p,Charlotte Hornets,118,Sacramento Kings,111,,15416,,Regular,Charlotte Hornets,Sacramento Kings
201910300UTA,2019-10-30,10:00p,Los Angeles Clippers,96,Utah Jazz,110,,18306,,Regular,Utah Jazz,Los Angeles Clippers
201910300GSW,2019-10-30,10:30p,Phoenix Suns,121,Golden State Warriors,110,,18064,,Regular,Phoenix Suns,Golden State Warriors
201910310ATL,2019-10-31,7:00p,Miami Heat,106,Atlanta Hawks,97,,16539,,Regular,Miami Heat,Atlanta Hawks
201910310NOP,2019-10-31,9:30p,Denver Nuggets,107,New Orleans Pelicans,122,,16613,,Regular,New Orleans Pelicans,Denver Nuggets
201910310LAC,2019-10-31,10:30p,San Antonio Spurs,97,Los Angeles Clippers,103,,19068,,Regular,Los Angeles Clippers,San Antonio Spurs
201911010BRK,2019-11-01,7:00p,Houston Rockets,116,Brooklyn Nets,123,,17732,,Regular,Brooklyn Nets,Houston Rockets
201911010IND,2019-11-01,7:00p,Cleveland Cavaliers,95,Indiana Pacers,102,,16079,,Regular,Indiana Pacers,Cleveland Cavaliers
201911010ORL,2019-11-01,7:00p,Milwaukee Bucks,123,Orlando Magic,91,,15105,,Regular,Milwaukee Bucks,Orlando Magic
201911010BOS,2019-11-01,7:30p,New York Knicks,102,Boston Celtics,104,,18624,,Regular,Boston Celtics,New York Knicks
201911010CHI,2019-11-01,8:00p,Detroit Pistons,106,Chicago Bulls,112,,20671,,Regular,Chicago Bulls,Detroit Pistons
201911010DAL,2019-11-01,9:30p,Los Angeles Lakers,119,Dallas Mavericks,110,OT,20358,,Regular,Los Angeles Lakers,Dallas Mavericks
201911010SAC,2019-11-01,10:00p,Utah Jazz,101,Sacramento Kings,102,,16273,,Regular,Sacramento Kings,Utah Jazz
201911010GSW,2019-11-01,10:30p,San Antonio Spurs,127,Golden State Warriors,110,,18064,,Regular,San Antonio Spurs,Golden State Warriors
201911020OKC,2019-11-02,5:00p,New Orleans Pelicans,104,Oklahoma City Thunder,115,,18203,,Regular,Oklahoma City Thunder,New Orleans Pelicans
