gameID,team,FG,FGA,3P,3PA,FT,FTA,ORB,TOV,DRB,POSS,EFGP,NTOVP,ORBP,NFTP,fourFactorScore
201910220LAC,Los Angeles Clippers,42,81,11,31,17,24,11,14,34,93.6,0.05546307506053266,0,0.046511627906976744,0.0334059549745824,0.053578587148811536
201910220TOR,Toronto Raptors,42,103,14,40,32,38,16,16,41,118.2,-0.014485514485514495,-0.02538071065989847,0.02118503806686528,0.14401294498381875,-0.006471000440866017
201910230BRK,Brooklyn Nets,48,101,15,34,15,26,10,16,38,117.4,0.06342899190581308,0.025553662691652476,-0.03999999999999998,-0.055188852218555184,0.05313407525340609
201910230CHO,Charlotte Hornets,45,88,23,44,13,16,9,19,32,104.4,0.031734006734006726,0.08620689655172413,-0.14777327935222676,-0.023701298701298695,0.021085959110460007
201910230DAL,Dallas Mavericks,35,76,11,36,27,33,5,19,41,103.2,0.04444296375266521,0.019379844961240317,-0.08958724202626642,0.19397283531409168,0.043472017138261446
201910230IND,Indiana Pacers,41,89,8,21,20,24,10,15,26,103.6,-0.046791443850267345,-0.028957528957528955,-0.05555555555555558,-0.10861423220973782,-0.04952422182098319
201910230MIA,Miami Heat,40,85,7,18,33,39,11,21,40,110.6,0.08761935328572573,-0.027124773960217008,0.0782312925170068,0.16351619299405157,0.08903838256316339
201910230ORL,Orlando Magic,37,86,9,30,11,19,7,13,39,99.6,0.050381571509327316,-0.03012048192771083,-0.0668267306922769,0.014270613107822419,0.04227169752881652
201910230PHI,Philadelphia 76ers,37,85,7,29,26,36,12,15,50,102.4,0.04060798548094374,0.048828125,0.1124031007751938,0.08366013071895428,0.04600202845036723
201910230PHO,Phoenix Suns,49,98,11,33,15,18,9,14,35,110.2,0.07982363779942092,-0.10889292196007258,-0.050773694390715635,-0.0423410743607788,0.06652001710591117
201910230POR,Portland Trail Blazers,36,87,7,28,21,23,13,20,35,103.2,-0.03705271258176218,0.009689922480620144,0.03746530989824237,-0.030225627926777326,-0.03258630172093874
201910230SAS,San Antonio Spurs,42,83,7,21,29,36,10,21,41,108.4,0.04233870967741937,0.06457564575645755,0.11857707509881422,0.21109971802102026,0.05312343764302353
201910230UTA,Utah Jazz,40,90,6,24,14,20,11,11,38,98,0.04082934609250399,-0.02040816326530613,0.05598290598290598,-0.09745649263721551,0.035443215444257214
201910240DET,Detroit Pistons,35,85,10,37,20,22,9,13,30,97.8,-0.0952080706179067,0,-0.0012239902080783127,0.02599179206566346,-0.08470879138389341
201910240GSW,Golden State Warriors,39,99,15,42,29,30,15,13,27,109,-0.19699848024316113,-0.03669724770642202,0.19411764705882353,0.00542929292929295,-0.16774255062579635
201910240HOU,Houston Rockets,33,90,16,48,29,39,10,14,47,109.6,-0.07531234382808599,0.027372262773722636,0.06223104932141674,0.23131313131313133,-0.05514330909894407
201910250BOS,Boston Celtics,42,109,13,38,15,16,21,9,35,103.4,-0.07357679914070892,-0.13539651837524178,0.21370967741935482,-0.04187250058809691,-0.058562500562946575
201910250BRK,Brooklyn Nets,37,78,16,37,23,34,11,26,35,106.6,-0.04737489745693191,0,0.06374722838137473,0.09734093067426403,-0.03555640906519942
201910250CHO,Charlotte Hornets,37,84,12,29,13,26,9,19,33,104.4,6.860122110173283e-4,0.03831417624521072,-0.09510869565217389,-0.09798534798534797,-0.007674295949654911
201910250DEN,Denver Nuggets,36,92,7,27,29,36,8,14,37,112.4,-0.0014005602240896309,-0.02669039145907473,-0.05891980360065466,-0.045247724974721903,-0.0062833072952930245
201910250LAL,Los Angeles Lakers,34,86,8,26,19,24,11,14,31,98.6,-0.0080827067669173025,-0.08113590263691686,0.1409313725490196,-0.06478405315614616,-0.0036305886153896066
201910250MEM,Memphis Grizzlies,39,94,10,29,14,20,15,18,41,105,0.016982836495031628,0.047619047619047616,0.11411764705882355,-0.04461221688400824,0.019682136999299788
201910250NOP,New Orleans Pelicans,45,98,15,41,11,15,12,14,36,106,-0.013279601882403846,0.028301886792452824,-0.005102040816326536,-0.09205617730963354,-0.015605971959440601
201910250OKC,Oklahoma City Thunder,33,83,5,23,14,22,7,18,42,102.8,0.012441892261416454,0.029182879377431914,-0.007826086956521733,0.086200471991057,0.014546246360865323
201910250SAC,Sacramento Kings,37,87,15,37,23,27,13,17,30,101.8,-0.08895511921458626,0.009823182711198447,0.12797619047619047,0.04083840432724814,-0.0719290297691162
201910260ATL,Atlanta Hawks,43,84,9,30,8,15,9,18,43,99,0.12820512820512825,0.08080808080808081,-0.046491228070175444,-0.1471861471861472,0.10798068890174159
201910260CHI,Chicago Bulls,29,97,9,35,17,25,12,15,33,110,-0.11314760508308896,-0.06363636363636366,-0.035836828059473885,-0.03205934121196882,-0.10554342326259616
201910260CLE,Cleveland Cavaliers,40,80,11,31,19,29,12,18,32,97.6,0.027301214257735962,0.010245901639344274,0.12781954887218044,0.11106321839080457,0.035507058027597016
201910260DET,Detroit Pistons,41,76,8,19,21,36,5,23,30,108.4,0.07285776424532403,0.009225092250922495,-0.031531531531531515,0.04643073200241987,0.06594489144682107
201910260HOU,Houston Rockets,43,94,13,45,27,30,9,19,36,116,-0.01055155875299757,0.017241379310344834,0.014285714285714263,0.1572340425531915,-0.0023203416681809906
201910260MIL,Milwaukee Bucks,41,94,17,54,27,35,5,18,42,121,-0.037954333643988813,0.01652892561983471,-0.061960784313725495,0.059511270275963785,-0.03471119942803931
201910260NYK,New York Knicks,31,82,7,27,26,34,16,23,39,102.6,-0.05288922360673698,0.10721247563352827,0.07653061224489793,0.1127720954628901,-0.03819076205896751
201910260PHO,Phoenix Suns,43,86,17,43,27,34,9,16,40,106.6,0.016871865025079813,0.0375234521575985,0.024999999999999994,-0.04236835070836675,0.015115179015813147
201910260SAS,San Antonio Spurs,50,108,10,28,14,17,21,9,32,102.8,-0.021944824441404442,-0.0291828793774319,0.18888888888888888,0.003313840155945408,-0.010465172740356056
201910260UTA,Utah Jazz,44,78,18,37,7,12,2,21,41,101.8,0.14778545306785862,0.039292730844793705,-0.053585500394011026,-0.08309591642924975,0.12739672339265018
201910270DAL,Dallas Mavericks,37,94,13,50,32,41,12,11,34,109.4,-0.15204510703363916,-0.045703839122486295,0.05568338702254946,0.08755196869650278,-0.13101138662251255
201910270LAL,Los Angeles Lakers,49,93,11,31,11,14,10,13,37,101.6,0.12205581157194062,-0.00984251968503938,-0.021904761904761927,-0.11248966087675766,0.10415698068758777
201910270MEM,Memphis Grizzlies,50,103,14,33,20,25,8,12,41,117,0.06637792103142626,-0.04273504273504275,-0.05153846153846153,-0.10285494568874362,0.05262165759646039
201910270MIN,Minnesota Timberwolves,39,91,13,45,25,33,14,16,32,106.2,-0.07453208556149737,-0.04708097928436911,0.1121794871794872,0.15707821590174534,-0.055657583803147156
201910270OKC,Oklahoma City Thunder,44,78,15,32,17,22,8,23,42,101.8,0.2081818181818182,0.08840864440078586,0.006349206349206354,-0.07552954292084729,0.18554400140827068
201910280ATL,Atlanta Hawks,36,84,9,27,22,32,8,21,37,109.8,0.03540750052377961,0,-0.06712018140589568,0.03463203463203465,0.029896022786388254
201910280DET,Detroit Pistons,37,81,13,24,9,10,9,20,39,96,0.049068322981366486,0.13541666666666669,-0.03048780487804878,0.004728132387706849,0.044180392401502344
201910280HOU,Houston Rockets,39,90,10,44,28,33,9,14,31,108.2,-0.039858845308341995,0.009242144177449174,-0.1404255319148936,0.13026004728132387,-0.03759141404022503
201910280LAC,Los Angeles Clippers,40,83,12,33,19,21,9,21,35,103.4,0.044092707744488424,0,0.032296650717703324,0.10843373493975902,0.04563561890351511
201910280MIL,Milwaukee Bucks,48,92,17,38,16,24,8,12,42,105.6,0.06770890979524075,0.009469696969696975,-0.018394648829431454,0.07391304347826086,0.0630695050830725
201910280NOP,New Orleans Pelicans,48,103,15,47,12,22,11,15,30,115.8,-0.04726618705035973,-0.025906735751295318,-0.18020793222949555,-0.05657206870799103,-0.054071915062631135
201910280NYK,New York Knicks,38,91,9,29,20,32,25,17,38,95.8,0.016666666666666663,0.08350730688935282,0.28063241106719367,0.019780219780219765,0.030657902413461998
201910280PHO,Phoenix Suns,33,80,13,34,16,23,3,16,37,102.2,0.032765737874097034,-0.0684931506849315,-0.0743174924165824,-0.2507042253521127,0.015060188944924387
201910280SAC,Sacramento Kings,36,91,12,37,10,16,15,12,33,94.4,0.02215485074626866,0.0211864406779661,-0.06538461538461537,-0.08398744113029827,0.013522501663978758
