gameID,team,FG,FGA,3P,3PA,FT,FTA,ORB,TOV,DRB
201910220LAC,Los Angeles Lakers,37,85,13,33,15,21,9,14,32
201910220TOR,New Orleans Pelicans,43,102,19,45,17,20,16,19,37
201910230BRK,Minnesota Timberwolves,46,108,13,43,22,28,12,13,40
201910230CHO,Chicago Bulls,49,105,9,30,18,22,20,10,29
201910230DAL,Washington Wizards,37,93,11,41,15,18,11,17,36
201910230IND,Detroit Pistons,41,78,11,24,26,33,10,18,35
201910230MIA,Memphis Grizzlies,38,89,5,32,20,30,9,24,31
201910230ORL,Cleveland Cavaliers,33,88,9,34,10,15,10,16,44
201910230PHI,Boston Celtics,33,90,7,26,20,34,10,10,31
201910230PHO,Sacramento Kings,34,87,10,29,17,26,12,26,35
201910230POR,Denver Nuggets,34,81,18,32,22,27,11,19,34
201910230SAS,New York Knicks,44,94,10,30,13,18,5,14,34
201910230UTA,Oklahoma City Thunder,32,83,10,27,21,31,7,13,41
201910240DET,Atlanta Hawks,44,86,11,31,18,21,8,13,34
201910240GSW,Los Angeles Clippers,50,80,18,32,23,30,3,17,36
201910240HOU,Milwaukee Bucks,46,99,16,46,9,18,6,11,47
201910250BOS,Toronto Raptors,37,78,18,36,14,17,5,23,41
201910250BRK,New York Knicks,38,81,17,25,16,28,9,26,30
201910250CHO,Minnesota Timberwolves,43,91,12,38,23,31,13,15,39
201910250DEN,Phoenix Suns,34,86,8,28,31,32,10,17,44
201910250LAL,Utah Jazz,29,70,8,25,20,21,3,22,37
201910250MEM,Chicago Bulls,40,93,12,42,18,24,9,13,36
201910250NOP,Dallas Mavericks,45,93,14,40,19,26,12,11,37
201910250OKC,Washington Wizards,39,97,11,41,8,10,8,15,39
201910250SAC,Portland Trail Blazers,46,85,11,30,19,22,5,16,35
201910260ATL,Orlando Magic,35,99,5,31,24,26,17,10,29
201910260CHI,Toronto Raptors,38,82,15,42,17,18,10,22,49
201910260CLE,Indiana Pacers,39,87,10,28,11,13,6,17,30
201910260DET,Philadelphia 76ers,42,87,13,34,20,30,6,22,32
201910260HOU,New Orleans Pelicans,46,100,18,50,13,16,9,17,33
201910260MIL,Miami Heat,46,101,16,44,23,36,8,16,46
201910260NYK,Boston Celtics,42,93,15,41,19,29,13,12,33
201910260PHO,Los Angeles Clippers,40,87,11,32,31,39,10,12,31
201910260SAS,Washington Wizards,47,95,16,34,12,17,8,12,33
201910260UTA,Sacramento Kings,30,81,7,26,14,17,6,17,25
201910270DAL,Portland Trail Blazers,45,87,9,22,22,26,7,16,41
201910270LAL,Charlotte Hornets,35,91,10,35,21,23,13,14,32
201910270MEM,Brooklyn Nets,44,101,15,45,30,37,11,17,42
201910270MIN,Miami Heat,42,85,15,36,10,15,7,21,34
201910270OKC,Golden State Warriors,30,92,5,33,27,31,12,14,27
201910280ATL,Philadelphia 76ers,37,88,11,41,20,25,12,21,37
201910280DET,Indiana Pacers,39,94,6,21,10,13,13,7,32
201910280HOU,Oklahoma City Thunder,41,94,13,35,17,24,16,13,36
201910280LAC,Charlotte Hornets,36,83,14,39,10,14,9,21,29
201910280MIL,Cleveland Cavaliers,45,100,12,39,10,12,10,11,38
201910280NOP,Golden State Warriors,51,104,14,35,18,24,19,18,42
201910280NYK,Chicago Bulls,36,85,9,35,17,21,8,9,30
201910280PHO,Utah Jazz,27,71,10,31,32,39,6,23,43
201910280SAC,Denver Nuggets,36,98,10,36,19,21,19,10,35
201910280SAS,Portland Trail Blazers,39,100,10,33,22,27,9,10,40
201910280TOR,Orlando Magic,34,89,12,39,15,18,8,16,39
201910290DEN,Dallas Mavericks,41,84,13,37,14,24,10,8,32
201910290LAL,Memphis Grizzlies,31,95,7,34,22,23,13,21,33
201910290MIA,Atlanta Hawks,35,83,11,39,16,24,9,20,24
201910300BOS,Milwaukee Bucks,38,82,14,45,15,24,5,15,40
201910300BRK,Indiana Pacers,45,96,11,26,17,20,11,9,30
201910300CLE,Chicago Bulls,39,90,14,39,19,23,9,6,23
201910300GSW,Phoenix Suns,44,96,15,36,18,21,13,16,32
201910300OKC,Portland Trail Blazers,34,86,17,35,17,24,9,17,40
201910300ORL,New York Knicks,31,82,7,31,14,20,10,11,34
201910300PHI,Minnesota Timberwolves,32,81,10,35,21,28,6,21,28
201910300SAC,Charlotte Hornets,46,84,16,32,10,14,10,20,36
201910300TOR,Detroit Pistons,41,88,14,30,17,23,11,20,31
201910300UTA,Los Angeles Clippers,39,82,8,23,10,12,6,19,30
201910300WAS,Houston Rockets,55,103,23,54,26,33,19,13,25
201910310ATL,Miami Heat,40,84,14,37,12,19,9,13,32
201910310LAC,San Antonio Spurs,36,80,7,21,18,27,9,19,40
201910310NOP,Denver Nuggets,43,89,7,26,14,16,5,14,30
201911010BOS,New York Knicks,37,93,14,38,14,21,16,13,35
201911010BRK,Houston Rockets,41,99,12,48,22,27,9,12,31
201911010CHI,Detroit Pistons,41,85,6,29,18,24,10,16,37
201911010DAL,Los Angeles Lakers,47,96,9,32,16,21,6,11,35
201911010GSW,San Antonio Spurs,44,93,13,35,26,30,16,11,36
201911010IND,Cleveland Cavaliers,32,87,11,32,20,25,3,16,42
201911010ORL,Milwaukee Bucks,47,93,17,47,12,18,11,13,47
201911010SAC,Utah Jazz,35,73,11,28,20,27,6,17,30
201911020DET,Brooklyn Nets,43,93,10,32,13,17,10,14,38
201911020GSW,Charlotte Hornets,36,85,5,29,16,23,16,12,32
201911020MEM,Phoenix Suns,44,88,14,34,12,16,4,17,28
