gameID,team,FG,FGA,3P,3PA,FT,FTA,ORB,TOV,DRB
201910220LAC,Los Angeles Clippers,42,81,11,31,17,24,11,14,34
201910220TOR,Toronto Raptors,42,103,14,40,32,38,16,16,41
201910230BRK,Brooklyn Nets,48,101,15,34,15,26,10,16,38
201910230CHO,Charlotte Hornets,45,88,23,44,13,16,9,19,32
201910230DAL,Dallas Mavericks,35,76,11,36,27,33,5,19,41
201910230IND,Indiana Pacers,41,89,8,21,20,24,10,15,26
201910230MIA,Miami Heat,40,85,7,18,33,39,11,21,40
201910230ORL,Orlando Magic,37,86,9,30,11,19,7,13,39
201910230PHI,Philadelphia 76ers,37,85,7,29,26,36,12,15,50
201910230PHO,Phoenix Suns,49,98,11,33,15,18,9,14,35
201910230POR,Portland Trail Blazers,36,87,7,28,21,23,13,20,35
201910230SAS,San Antonio Spurs,42,83,7,21,29,36,10,21,41
201910230UTA,Utah Jazz,40,90,6,24,14,20,11,11,38
201910240DET,Detroit Pistons,35,85,10,37,20,22,9,13,30
201910240GSW,Golden State Warriors,39,99,15,42,29,30,15,13,27
201910240HOU,Houston Rockets,33,90,16,48,29,39,10,14,47
201910250BOS,Boston Celtics,42,109,13,38,15,16,21,9,35
201910250BRK,Brooklyn Nets,37,78,16,37,23,34,11,26,35
201910250CHO,Charlotte Hornets,37,84,12,29,13,26,9,19,33
201910250DEN,Denver Nuggets,36,92,7,27,29,36,8,14,37
201910250LAL,Los Angeles Lakers,34,86,8,26,19,24,11,14,31
201910250MEM,Memphis Grizzlies,39,94,10,29,14,20,15,18,41
201910250NOP,New Orleans Pelicans,45,98,15,41,11,15,12,14,36
201910250OKC,Oklahoma City Thunder,33,83,5,23,14,22,7,18,42
201910250SAC,Sacramento Kings,37,87,15,37,23,27,13,17,30
201910260ATL,Atlanta Hawks,43,84,9,30,8,15,9,18,43
201910260CHI,Chicago Bulls,29,97,9,35,17,25,12,15,33
201910260CLE,Cleveland Cavaliers,40,80,11,31,19,29,12,18,32
201910260DET,Detroit Pistons,41,76,8,19,21,36,5,23,30
201910260HOU,Houston Rockets,43,94,13,45,27,30,9,19,36
201910260MIL,Milwaukee Bucks,41,94,17,54,27,35,5,18,42
201910260NYK,New York Knicks,31,82,7,27,26,34,16,23,39
201910260PHO,Phoenix Suns,43,86,17,43,27,34,9,16,40
201910260SAS,San Antonio Spurs,50,108,10,28,14,17,21,9,32
201910260UTA,Utah Jazz,44,78,18,37,7,12,2,21,41
201910270DAL,Dallas Mavericks,37,94,13,50,32,41,12,11,34
201910270LAL,Los Angeles Lakers,49,93,11,31,11,14,10,13,37
201910270MEM,Memphis Grizzlies,50,103,14,33,20,25,8,12,41
201910270MIN,Minnesota Timberwolves,39,91,13,45,25,33,14,16,32
201910270OKC,Oklahoma City Thunder,44,78,15,32,17,22,8,23,42
201910280ATL,Atlanta Hawks,36,84,9,27,22,32,8,21,37
201910280DET,Detroit Pistons,37,81,13,24,9,10,9,20,39
201910280HOU,Houston Rockets,39,90,10,44,28,33,9,14,31
201910280LAC,Los Angeles Clippers,40,83,12,33,19,21,9,21,35
201910280MIL,Milwaukee Bucks,48,92,17,38,16,24,8,12,42
201910280NOP,New Orleans Pelicans,48,103,15,47,12,22,11,15,30
201910280NYK,New York Knicks,38,91,9,29,20,32,25,17,38
201910280PHO,Phoenix Suns,33,80,13,34,16,23,3,16,37
201910280SAC,Sacramento Kings,36,91,12,37,10,16,15,12,33
201910280SAS,San Antonio Spurs,41,85,7,22,24,32,7,18,43
201910280TOR,Toronto Raptors,33,85,10,39,28,30,6,16,46
201910290DEN,Denver Nuggets,43,91,11,32,9,13,14,10,36
201910290LAL,Los Angeles Lakers,40,86,7,26,33,39,10,18,44
201910290MIA,Miami Heat,33,73,13,31,33,45,13,26,36
201910300BOS,Boston Celtics,41,92,17,41,17,21,5,9,40
201910300BRK,Brooklyn Nets,41,93,10,31,16,26,18,19,36
201910300CLE,Cleveland Cavaliers,41,78,10,24,25,31,10,17,37
201910300GSW,Golden State Warriors,36,82,8,28,30,36,7,18,36
201910300OKC,Oklahoma City Thunder,33,84,4,27,29,37,13,18,42
201910300ORL,Orlando Magic,37,88,12,32,9,12,14,7,38
201910300PHI,Philadelphia 76ers,43,92,9,25,22,28,16,22,40
201910300SAC,Sacramento Kings,44,96,14,46,9,12,10,15,29
201910300TOR,Toronto Raptors,51,86,13,27,10,12,3,14,31
201910300UTA,Utah Jazz,44,80,11,24,11,16,3,14,33
201910300WAS,Washington Wizards,57,91,20,36,24,29,11,19,29
201910310ATL,Atlanta Hawks,36,88,7,34,18,26,16,16,34
201910310LAC,Los Angeles Clippers,39,91,5,26,20,27,11,11,36
201910310NOP,New Orleans Pelicans,41,77,15,33,25,32,2,15,35
201911010BOS,Boston Celtics,33,74,11,34,27,29,3,14,41
201911010BRK,Brooklyn Nets,42,85,19,32,20,28,10,20,45
201911010CHI,Chicago Bulls,39,89,16,40,18,23,11,17,31
201911010DAL,Dallas Mavericks,40,102,14,36,16,23,18,22,43
201911010GSW,Golden State Warriors,39,84,13,28,19,21,7,11,32
201911010IND,Indiana Pacers,39,96,5,27,19,21,13,13,45
201911010ORL,Orlando Magic,34,91,12,37,11,17,10,16,30
201911010SAC,Sacramento Kings,41,84,8,29,12,17,11,16,27
201911020DET,Detroit Pistons,41,91,8,27,23,29,5,8,36
201911020GSW,Golden State Warriors,34,77,9,28,10,13,5,18,35
201911020MEM,Memphis Grizzlies,42,86,9,28,12,19,13,20,33
201911020MIL,Milwaukee Bucks,41,89,13,38,20,25,10,11,41
201911020OKC,Oklahoma City Thunder,41,90,15,37,18,23,8,12,36
201911020ORL,Orlando Magic,37,86,6,29,7,11,10,15,37
201911020POR,Portland Trail Blazers,45,78,19,34,19,25,4,18,32
201911020WAS,Washington Wizards,37,95,12,35,23,27,8,17,31
201911030CLE,Cleveland Cavaliers,39,96,18,48,15,22,12,9,29
201911030IND,Indiana Pacers,40,85,8,26,20,27,10,16,39
201911030LAC,Los Angeles Clippers,36,92,7,32,26,34,18,9,36
201911030MIA,Miami Heat,47,89,18,41,17,22,5,15,41
201911030NYK,New York Knicks,32,80,8,31,20,31,9,13,29
201911030SAS,San Antonio Spurs,33,83,6,25,24,29,8,17,39
201911040BRK,Brooklyn Nets,49,92,16,41,21,28,12,23,33
201911040GSW,Golden State Warriors,42,86,10,26,33,36,8,10,39
201911040MEM,Memphis Grizzlies,40,94,3,25,17,21,13,14,38
201911040MIN,Minnesota Timberwolves,37,103,13,43,19,22,13,15,34
201911040PHO,Phoenix Suns,41,77,11,28,21,27,5,19,35
201911040WAS,Washington Wizards,43,93,8,29,21,25,13,11,28
201911050ATL,Atlanta Hawks,43,90,11,30,11,16,9,18,39
201911050CHI,Chicago Bulls,43,85,14,32,12,23,7,16,35
201911050CHO,Charlotte Hornets,42,88,10,31,28,42,10,13,27
201911050CLE,Cleveland Cavaliers,40,95,13,33,20,22,11,9,32
201911050DEN,Denver Nuggets,45,86,9,23,10,16,9,19,38
201911050OKC,Oklahoma City Thunder,37,86,12,33,16,20,7,9,31
201911060ATL,Atlanta Hawks,30,74,6,30,27,35,6,24,35
201911060DAL,Dallas Mavericks,36,84,11,31,24,30,12,17,31
201911060DET,Detroit Pistons,44,79,15,30,19,24,8,16,35
201911060HOU,Houston Rockets,48,97,21,45,12,19,11,12,39
201911060IND,Indiana Pacers,44,94,12,30,21,26,13,13,35
201911060LAC,Los Angeles Clippers,41,98,13,31,29,36,14,19,40
201911060MEM,Memphis Grizzlies,50,88,12,23,25,30,8,17,41
201911060TOR,Toronto Raptors,43,78,14,29,24,29,2,14,35
201911060UTA,Utah Jazz,41,89,8,22,16,24,14,13,36
201911070CHO,Charlotte Hornets,33,86,6,31,15,21,9,20,40
201911070LAC,Los Angeles Clippers,39,89,4,23,25,30,13,17,44
201911070PHO,Phoenix Suns,37,84,11,32,23,31,10,14,30
201911070SAS,San Antonio Spurs,51,94,9,20,10,11,12,13,35
201911080ATL,Atlanta Hawks,46,87,9,28,8,14,11,12,23
201911080DAL,Dallas Mavericks,37,90,14,44,14,17,7,13,40
201911080DEN,Denver Nuggets,39,87,9,22,13,17,7,10,34
201911080IND,Indiana Pacers,43,83,4,15,22,25,10,12,34
201911080LAL,Los Angeles Lakers,40,89,8,32,7,8,10,18,38
201911080MIN,Minnesota Timberwolves,48,111,9,36,20,29,20,18,39
201911080NOP,New Orleans Pelicans,40,99,10,41,14,21,14,18,39
201911080ORL,Orlando Magic,44,93,7,28,23,27,12,9,45
201911080POR,Portland Trail Blazers,40,97,11,30,24,25,13,10,35
201911080UTA,Utah Jazz,34,84,15,36,20,29,11,20,45
201911080WAS,Washington Wizards,45,96,7,31,3,6,17,18,30
201911090CHI,Chicago Bulls,37,98,4,32,16,18,11,15,35
201911090CHO,Charlotte Hornets,36,88,12,35,26,34,13,21,29
201911090MEM,Memphis Grizzlies,50,95,12,36,10,14,10,15,29
201911090OKC,Oklahoma City Thunder,43,79,14,30,14,17,7,18,35
201911090SAS,San Antonio Spurs,39,99,14,30,23,30,21,15,36
201911100LAL,Los Angeles Lakers,41,94,10,30,12,19,13,12,38
201911100MIN,Minnesota Timberwolves,34,97,6,45,24,33,15,12,38
201911100NYK,New York Knicks,31,86,9,31,16,25,17,21,35
201911100OKC,Oklahoma City Thunder,45,91,17,42,12,17,5,15,30
201911100ORL,Orlando Magic,41,89,15,36,5,6,7,10,30
201911100PHI,Philadelphia 76ers,46,84,10,28,12,16,10,20,39
201911100PHO,Phoenix Suns,52,99,19,42,15,19,5,7,37
201911100POR,Portland Trail Blazers,45,104,12,36,22,28,16,17,45
201911110BOS,Boston Celtics,41,86,15,35,19,25,10,9,36
201911110DET,Detroit Pistons,39,87,16,32,20,25,12,17,27
201911110GSW,Golden State Warriors,45,94,10,31,8,14,8,10,36
201911110LAC,Los Angeles Clippers,34,92,8,36,22,30,20,19,46
201911110NOP,New Orleans Pelicans,41,95,14,45,20,27,12,16,34
201911110SAS,San Antonio Spurs,42,90,12,30,13,17,7,13,35
201911120CHI,Chicago Bulls,41,81,14,33,24,31,9,19,37
201911120DEN,Denver Nuggets,46,104,11,41,18,22,15,3,25
201911120IND,Indiana Pacers,46,94,7,23,12,13,11,14,39
201911120MIA,Miami Heat,41,77,14,32,21,27,8,19,34
201911120PHI,Philadelphia 76ers,40,89,8,38,10,13,11,14,35
201911120PHO,Phoenix Suns,43,91,16,38,13,17,6,11,33
201911120SAC,Sacramento Kings,38,86,11,32,20,26,11,14,35
201911120UTA,Utah Jazz,43,92,6,26,27,35,11,11,35
201911130BOS,Boston Celtics,49,96,16,36,26,29,10,11,34
201911130CHO,Charlotte Hornets,43,87,16,36,15,19,7,15,27
201911130HOU,Houston Rockets,33,86,14,42,22,27,9,10,44
201911130LAL,Los Angeles Lakers,48,89,9,20,15,18,13,19,38
201911130MIN,Minnesota Timberwolves,45,91,11,34,28,34,13,10,37
201911130ORL,Orlando Magic,38,86,10,32,26,34,9,13,39
201911130POR,Portland Trail Blazers,38,96,17,48,13,16,11,12,32
201911140CLE,Cleveland Cavaliers,36,85,8,32,17,21,11,18,30
201911140DEN,Denver Nuggets,43,101,10,33,5,10,14,7,48
201911140MIL,Milwaukee Bucks,42,88,6,33,34,47,17,22,41
201911140NOP,New Orleans Pelicans,47,98,18,34,20,29,18,14,33
201911140NYK,New York Knicks,42,94,13,30,9,11,15,15,38
201911140PHO,Phoenix Suns,41,85,15,39,31,38,7,20,32
201911150CHO,Charlotte Hornets,43,96,13,35,10,16,14,10,27
201911150GSW,Golden State Warriors,34,82,5,28,27,34,12,19,43
201911150HOU,Houston Rockets,36,89,14,46,25,29,10,8,34
201911150LAL,Los Angeles Lakers,34,81,11,37,20,22,10,13,31
201911150MEM,Memphis Grizzlies,43,96,10,35,11,13,9,11,37
201911150MIN,Minnesota Timberwolves,42,89,11,37,21,29,9,20,34
201911150OKC,Oklahoma City Thunder,41,76,10,24,35,41,6,13,30
201911150ORL,Orlando Magic,36,87,12,29,27,34,14,10,34
201911160CHI,Chicago Bulls,32,91,9,39,38,41,17,19,39
201911160DAL,Dallas Mavericks,37,88,9,39,27,33,12,12,43
201911160IND,Indiana Pacers,32,100,12,34,7,9,14,13,40
201911160LAC,Los Angeles Clippers,50,93,17,33,33,35,12,19,41
201911160MIA,Miami Heat,44,81,9,24,12,13,9,20,36
201911160MIN,Minnesota Timberwolves,38,84,12,38,17,23,13,18,33
201911160NYK,New York Knicks,39,86,6,20,18,23,13,11,35
201911160SAS,San Antonio Spurs,41,88,5,18,29,34,7,10,36
