Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
30,Atlanta Hawks,63,242,43.3,90.7,0.477,11.7,32.6,0.36,31.5,58.1,0.542,21,27.2,0.771,11.3,35.9,47.2,24.8,8.9,6.4,15.1,21,119.2
1,Boston Celtics,60,242.1,38.3,86.9,0.441,11.8,34.6,0.34,26.5,52.3,0.507,18.6,24.5,0.76,10.3,34.1,44.4,22.2,7,5.5,15.3,20.6,106.9
13,Brooklyn Nets,60,243.3,41.2,93.3,0.442,12,34.4,0.348,29.3,58.9,0.497,17,22.3,0.762,10.9,35.2,46.1,22.4,7.8,5.4,12.8,20.8,111.4
12,Charlotte Hornets,61,241.6,41.6,87.7,0.474,12.2,34.8,0.351,29.4,53,0.555,14,18.4,0.76,10.9,35.3,46.2,26.5,8.2,5.1,14.3,20.5,109.4
15,Chicago Bulls,61,241.2,39.6,83,0.477,11.2,31.8,0.352,28.5,51.2,0.555,19.5,25.7,0.759,10.3,35.4,45.7,25.4,8.2,5.9,18,19.3,110
23,Cleveland Cavaliers,61,241.6,44,89.5,0.492,12.4,33.1,0.375,31.6,56.3,0.56,14.5,19,0.764,9.7,33.2,42.9,26.4,9.3,6.4,12.9,19.4,114.9
18,Dallas Mavericks,62,241.2,41.2,91.2,0.452,11.8,34.3,0.343,29.4,56.8,0.518,16.2,21.3,0.761,10.9,34.5,45.3,23.5,7,3.9,12,20.9,110.4
8,Denver Nuggets,61,242.5,39.6,86.4,0.458,11.5,33.4,0.345,28.1,53,0.529,16.8,22.2,0.757,10,32.8,42.8,25,7.1,4.6,14.2,20.2,107.5
21,Detroit Pistons,62,242,42,87.9,0.478,10.7,29.7,0.361,31.3,58.1,0.538,16,20.6,0.779,10.2,33.3,43.5,24.8,8.1,5.6,14,20,110.8
26,Golden State Warriors,62,242,42.2,88.7,0.476,13.4,34.5,0.389,28.8,54.2,0.531,16.9,21.8,0.776,10.3,36.4,46.7,26,8.4,5.1,15.8,20.1,114.7
19,Houston Rockets,60,241.3,42.3,92.1,0.46,12.2,35.2,0.345,30.2,56.9,0.531,17.4,22.9,0.761,11.3,36,47.2,25.4,7.9,5.1,15.8,20.9,114.3
7,Indiana Pacers,61,241.6,39.4,87.7,0.449,11.4,32.7,0.349,28,55,0.508,17,21.6,0.787,10,34.6,44.5,23.2,6.7,4.5,14.4,18.7,107.2
14,Los Angeles Clippers,61,241.2,39.5,90.4,0.437,12.1,35.1,0.346,27.4,55.3,0.495,18.6,24.6,0.759,10.9,34.6,45.6,23.6,8,5,14.3,22.8,109.8
2,Los Angeles Lakers,60,240.8,39.1,87.7,0.446,11.3,32.7,0.346,27.8,55,0.506,17.5,22.6,0.776,9.7,32.4,42.1,23.4,8.2,3.8,15.7,21.2,107.1
22,Memphis Grizzlies,61,240.4,41,90.6,0.453,12.8,34.7,0.368,28.3,55.9,0.506,19.4,24.8,0.784,10.3,34.7,45,24.9,7.8,5.4,14.6,19.8,114.3
11,Miami Heat,61,243.7,39,87.2,0.448,13,38,0.341,26.1,49.1,0.53,18.1,23.4,0.775,9.1,33.1,42.2,24.8,7.5,4.2,13.6,21.7,109.2
5,Milwaukee Bucks*,61,240.8,38.5,93.9,0.41,13.8,38.8,0.357,24.7,55.1,0.448,15.9,20.4,0.779,9.5,36.1,45.7,23.7,7.2,4.6,14.2,21.3,106.8
25,Minnesota Timberwolves,60,243.3,43,90.6,0.474,11.6,31.9,0.363,31.4,58.7,0.535,19.9,25.2,0.787,10.3,37.4,47.6,24.2,7.8,5.6,15.5,21.7,117.4
28,New Orleans Pelicans,61,242,43.1,92.3,0.467,12,33.7,0.357,31.1,58.6,0.531,19,24.2,0.785,10.1,35,45.1,24.6,8.5,4.7,14.4,20.6,117.2
17,New York Knicks,61,241.6,39.9,85.9,0.464,13.4,34.8,0.385,26.5,51.1,0.518,19,25.5,0.744,9.6,34.9,44.5,24.3,7.2,5.1,13.8,19.6,112
9,Oklahoma City Thunder,61,241.6,41.1,90,0.457,11.4,33.1,0.345,29.7,56.9,0.522,14.8,18.6,0.799,10.4,34.1,44.5,23.1,6.7,4,14,22.9,108.5
6,Orlando Magic,61,240.4,40,86.7,0.462,12.3,33.3,0.371,27.7,53.4,0.519,14.5,18.8,0.772,9.1,36.5,45.6,24.3,6.9,4.8,14.8,19.1,106.9
10,Philadelphia 76ers,62,241.2,39.5,85.8,0.46,10.2,28.9,0.354,29.2,56.9,0.513,18.1,24.3,0.743,8.7,33.5,42.2,22.5,7,3.9,14.2,20.2,107.2
24,Phoenix Suns,62,241.2,41.2,87,0.473,11.7,32.1,0.365,29.5,55,0.536,19.5,24.9,0.782,9.3,34.5,43.8,23.8,8.2,5.6,16.1,22.9,113.5
27,Portland Trail Blazers,62,240.8,41.7,92.2,0.452,13.1,35.1,0.374,28.5,57,0.5,18.8,24.5,0.769,11.7,35.9,47.6,24.5,6.8,5.1,12.7,19.5,115.3
16,Sacramento Kings,61,242.5,39.7,85.1,0.467,12.1,34.2,0.354,27.6,50.9,0.543,19,23.9,0.795,9,34.6,43.6,24.5,7.8,4.4,15.3,19.4,110.6
20,San Antonio Spurs,60,242.5,42,89.7,0.469,13,34.7,0.375,29,55,0.527,17.3,22.4,0.773,9.4,36.1,45.4,25.7,6.9,4.4,13,19.6,114.3
4,Toronto Raptors,61,241.6,37.9,88.4,0.429,13,38.3,0.339,24.9,50,0.498,17.7,23.1,0.767,11.2,35.1,46.3,25.5,7,5.3,17,19.9,106.6
3,Utah Jazz,60,240.4,40.5,89.4,0.453,11.2,31.6,0.353,29.3,57.8,0.508,16.2,21.1,0.767,9.5,33,42.5,21.1,7.9,4.7,11.9,20.8,108.3
29,Washington Wizards,60,241.3,43.6,89.3,0.488,12.6,33.5,0.376,31,55.9,0.556,20.3,26.4,0.771,10.9,35.7,46.6,25.3,7.5,5,16.1,22.2,120.1
