Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
7,Atlanta Hawks,63,242,40.4,90.2,0.448,11.8,35.7,0.331,28.6,54.5,0.524,18.5,23.4,0.793,9.7,33.3,43,23.8,7.9,5.2,16.2,23,111.1
14,Boston Celtics,60,242,41.3,89.5,0.462,12.5,34.2,0.364,28.9,55.3,0.522,18.4,22.9,0.8,10.6,35.4,45.9,23.1,8.3,5.6,13.8,21.6,113.5
23,Brooklyn Nets,60,243,40.1,90.4,0.444,13,37.9,0.342,27.2,52.5,0.518,17.7,23.9,0.742,10.9,37.7,48.5,24.1,6.6,4.6,15.5,20.7,111
30,Charlotte Hornets,61,242,37.1,86.1,0.431,11.8,34.2,0.346,25.3,52,0.487,15.9,21.4,0.742,11.1,32,43.2,23.7,6.5,4.2,14.7,18.9,102
26,Chicago Bulls,61,241,39.5,88.4,0.446,12.3,35.2,0.349,27.2,53.3,0.51,15.7,20.8,0.756,10.4,31.5,42,23.2,10,4,15.6,21.7,106.9
27,Cleveland Cavaliers,61,242,40.2,88.1,0.457,11.2,31.9,0.351,29,56.2,0.517,14.9,19.6,0.761,10.8,33.4,44.1,22.8,6.9,3.2,16.4,18.2,106.6
2,Dallas Mavericks,62,241,41.5,89.7,0.463,15.2,41.3,0.368,26.3,48.4,0.544,18.1,23.4,0.776,10.7,36.3,47,24.4,6.1,4.9,12.8,19.3,116.4
18,Denver Nuggets,61,242,41.8,89.1,0.47,10.8,30.1,0.357,31.1,58.9,0.528,16.3,21,0.775,11,33.6,44.6,26.5,8,4.7,13.6,20,110.7
22,Detroit Pistons,62,242,39.5,85.8,0.46,12,32.4,0.369,27.5,53.4,0.515,16.8,22.5,0.747,9.9,32.2,42.1,24.1,7.4,4.6,15.5,19.5,107.7
25,Golden State Warriors,62,242,38.5,88.3,0.437,10.4,30.9,0.336,28.1,57.4,0.491,18.6,23.1,0.805,10,32.9,43,25.4,8.4,4.7,15.1,20.1,106
3,Houston Rockets,60,241,41.4,91,0.454,15.7,44.6,0.351,25.7,46.5,0.553,20.5,26,0.789,10.3,34.9,45.2,21.5,8.5,5.2,14.5,21.5,118.9
21,Indiana Pacers,61,242,42.1,88.4,0.476,10.1,27.7,0.364,32,60.7,0.528,15.1,19.2,0.789,8.9,33.9,42.8,26.1,7.2,5.1,13,19.6,109.4
5,Los Angeles Clippers,61,241,41.7,89.8,0.465,12.1,32.9,0.368,29.6,56.9,0.521,20.6,26,0.792,10.9,36.9,47.8,24,7.2,5,14.8,22,116.1
11,Los Angeles Lakers,60,241,43.1,88.6,0.487,11.2,31.2,0.359,31.9,57.3,0.557,17.2,23.6,0.726,10.7,35.4,46.1,26.1,8.6,6.9,15.1,20.4,114.6
